Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Functioning Business,Stone,70 sq.m.,,,,,Ararat › Vedi,"$2,500,000",USD,"Վաճառվում է տրավերտինի քարի հանք 70 հեկտար և արտադրամաս, անհրաժեշտ բոլոր հաստոցներով և տեխնիկայով, ցանկացաց տեսակի, չափսի և բարդության պատվերներ իրականացնելու համար:Վանաշենի քարի հանքը, Երևանից (Հայաստանի մայրաքաղաք) 50 կիլոմետր հեռավորության վրա, զբաղեցնում է 70 հա տարածք։ Հայ և եվրոպացի փորձագետների գնահատականներով՝ հանքավայրն ունի 20 մետր միջին տրավերտինային շերտ՝ 5.600.000 մ3 ծավալով, ինչը հավասար է 13.150.000 տոննա պահուստային շահագործման ներուժի, ինչն երաշխավորում է քարի շարունակական արդյունահանումը 150 տարի։Արտադրամասը հագեցաց է եվրոպական ժամանակակից հաստոցներով ցանկացաց տեսակի, չափսի և բարդության պատվեր իրականացնելու համար:Ավելի մանրամասն տեղեկատվություն ստանալու համար զանգահարեք:Ванашенский карьер, расположенный на экологически безопасном и в промышленном отношении многообещающем участке, в 50-и километрах от Еревана (столицы Армении) со всеми возможностями международных коммуникаций, охватывает территорию приблизительно 70 га. Согласно оценкам армянских и европейских экспертов месторождение имеет 20 м среднего травертинового страта, в объеме 5.600.000 м3, что равно 13.150.000 тонн запасного потенциала эксплуатации, который, гарантирует непрерывную добычу камня в течение 150 лет. Карьер оснащен современными европейскими стонками для изготовления заказов любого вида, размера и сложности.Vanashen open pit located in an environmentally safe and industrially promising plot, in 50 kilometers from Yerevan (capital of Armenia), covers an area of approximately 70 hectares. According to the assessments of the Armenian and the European experts, the deposit has 20 meters of the middle travertine stratum in volume of 5.600.000 m3, which is equal to 13.150.000 tons of spare capacity use, which guarantees continuous quarrying within 150 years. The quarry is equipped with modern European machine-tools for the production of orders of any kind, size and complexity.",Nov-24-2022_22-00,,https://list.am/en/item/17816076
Industrial and Manufacturing,Stone,2500 sq.m.,Available,Not available,First Line,Common from the Street,Ararat › Nor Kharberd,"$400,000",USD,"Կոդ՝ B-18041Վաճառվում է գործող արտադրական տարածք Նոր Խարբերոդում։ Տարածքը միջին վիճակում է (շինության մակերեսը՝ 720քմ) ։ Մուտքի դուռը՝ մետաղյա, պատուհանները՝ եվրո։ Ունի նկուղ-սառնարան, պահեստ, չրերի արտադրության համար նախատեսված սարավորումներ, խոհանոց, սանհանգույց, հոսանք, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An active production area for sale in Nor Khatberd. The area is in the middle condition (the area of the building is 720sq. M) The entrance door is metal-made, the windows are euro-based. The area has a basement-refrigerator, storage, equipment for dried fruits production, kitchen, bathroom, electricity, and is supplied with water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_22-00,,https://list.am/en/item/14585240
Functioning Business,Stone,"20,000 sq.m.",,,,,Ararat › Hovtashat,"80,000,000 ֏",AMD,"Fish farm, the land is 2 hectares, the pools are 7500 square meters, it works with pumps, the amount of water is 100 liters / s, the substation is 160 KV, a 7-meter house with its communal facilities.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17511822
Multifunctional Space,Stone,"11,300 sq.m.",By agreement,Not available,First Line,Separate from the Street,"Yerevan-Meghri highway, Yerevan","$460,000",USD,"A restaurant complex with an area of 540 square meters is for sale on the 1st line of Yerjan Meghri interstate M2 road, 6 km away from Yerevan. The total area of the land is 11300 square meters, of which 1500 square meters is a restaurant complex. The purpose is industrial. Closed private rooms for 6-16 people, 2 open-air pavilions for 6-8 people, a cafe for 10-12 people in the lobby, a hall for celebrations under construction for 80 people. The area also has a parking lot for 40 cars. There is also a fast food service point next to it. In the other part of the land there are 16 swimming pools with an area of 2500 square meters for fish production, with their own pipelines. The area is completely fenced, has a separate electricity. Substation, sewer, guard house, 150 sq. M. Separate storage part. Sale of property and equipmentTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17609615
Retail Space,Stone,53 sq.m.,Not available,Not available,First Line,Separate from the Street,"Kentronakan street 100, Darakert","$26,000",USD,In the village of DarakertTranslated from Armenian,Nov-24-2022_22-00,OUtdoor parking,https://list.am/en/item/16405905
Industrial and Manufacturing,Cassette,750 sq.m.,Not available,Not available,Other,Common from the Street,Ararat › Ghukasavan,"$8,000",USD,"Greenhouse with iron squares, is in fresh condition, only the greenhouse is for saleTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17789734
Multifunctional Space,Stone,1700 sq.m.,Available,Not available,First Line,Common from the Street,"Ծովակալ Իսակովի փողոց 113, Արտաշատ","$700,000",USD,"Existing business ARDVIN restaurant-hotel complex for sale, c. In Artashat, the spheres of activity are: Restaurant business, large hall up to 150 people, small hall up to 70 people, Hotel 8 existing rooms (each with its own bathrooms), Bar and Hatsatun indoors փակ indoors as well as open-air compartments.There are 3 bathrooms on the first floor and 10 on the second floor.The building has its own single-phase transformer, solar station, is provided with all the communal conditions - hot and cold water, gas, high-quality modern ventilation (chiller) system, modern kitchen - refrigerators.The area is private.Address: C. 22 Artashat, Yerevan-Yeraskh highwayPrice is negotiable.If you have any questions, call or visit Ardvin.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17805394
Multifunctional Space,Stone,"10,000 sq.m.",Available,Not available,Second Line,Common from the Courtyard,"Ակսել Բակունցի փողոց 31, Արտաշատ","$330,000",USD,"Production area for sale ․ In Artashat.The total area is 10,000 square metersFrom which buildings:1 ․ Administrative building - 2552 ․ Production building - 1753 ․ Warehouses - 8804 ․ Workshop - 1905 ․ Office - 30:6 ․ Unfinished -307 ․ Livestock building - 3108 ․ Garages - 449 ․ Cover - 92The area is fenced.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17847725
Industrial and Manufacturing,Stone,3000 sq.m.,Not available,Not available,Other,Common from the Courtyard,"Հոկտեմբերյան փողոց 8, Շահումյան","$130,000",USD,"For sale or for rent Operating stone workshop c. Artashat str. Production hub 1/1The total area is 3,000 square meters, of which 380 square meters are buildings.It has its own transformer, the machining is flawlessTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17854019
Agricultural Space,Wooden,3800 sq.m.,,,,,"H-10 1, Ոսկետափ","$5,000",USD,"VERY URGENT NEGOTIABLEUrgent orchard for sale, provided with irrigation water. There are peach and apricot trees. It is located near the main road Nor Kyanq - Vosketap.For more information call!Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17820696
Multifunctional Space,Stone,1000 sq.m.,,,,,Ararat › Argavand,"$350,000",USD,"A multifunctional commercial space is for sale in Argavand. The total area of the area is 1000 square meters, and the area of the building is 1500 square meters. The area is suitable for any type of activity.It is also available for rent: 1 sq. M. - 1000 AMDSelling price: 350,000 USDCode: GS-K08Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18193280
Everything Else,Stone,48 sq.m.,,,,,"Khanjyan street 62, Ararat","$23,000",USD,"K. A two-story stone building is for sale in Ararat.It has all facilities: Water, sewage.Located near school and collegeSuitable for shop, beauty salonThe price is negotiable.Call for questions.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18305577
Retail Space,Stone,180 sq.m.,,,,,Ararat › Vedi,"$45,000",USD,"Վաճառվում է 60 քմ տարածք Կասյան փողոցում:Այն գտնվում է Արարատի մարզ, Ք Վեդի, Կասյան փողոց 17ԲՏարածքը բաղկացած է 2 հարկից, ունի նաեվ նկուղ, յուրաքանչյուր հարկը 60քառ. ՄՇինության հողատարածքը սեփականաշնորհված է:180 քառ. Մ ընդհանուր մակերեսովԸնդհանուրը180քմ, որից 120․քմ, ը որպես խանութ կամ այլ նպատակի, 60 քմ/ը նկուղային մասն էՄանրամասների համար Գրել ելեկտրոնային",Nov-24-2022_22-00,,https://list.am/en/item/15726988
Automotive Service,Stone,300 sq.m.,Not available,Not available,First Line,Separate from the Street,"Kentronakan street, Darakert","$45,000",USD,"Car wash for sale (wash yourself) Ararat region, Darakert village (near Charbakh) on the main road, put into operation 4 months agoIt has three-phase electricity, video recording system, internet, 3 car wash pointsThere is free space for car drying and vacuumingThe equipment is expensive: Italian-made, coin accepting equipment with a monitor.Rest room - 18 square metersStorage room2 water tanks with a capacity of 1 ton eachPrice is negotiableExchange with cars is possibleCode 16063537Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16063537
Multifunctional Space,Stone,2400 sq.m.,,,,,Ararat › Ararat,"$63,000",USD,"Գլխավոր ճանապարհինПекарня-чайхана – это действующий бизнес с явным доходом. Земельный участок площадью 2400 квадратных метров имеет полное разрешение на строительство. На ту конструкцию (100 кв. М.) я потратил около 6000 долларов. Я также построил полностью отдельную линию электропередача и установил силовой трансформатор. Имущество-оборудование, расположенное внутри, стоит около 12000 долларов. По главной дороге есть раздел для туристического движения.Адрес: РА, Араратская область, село Шагап, 72 АраратянՀացատուն-թեյարանը գործող բիզնես է իր հստակ եկամուտով։ 2400 քռ. Մակերեսով բնակելի կառուպատման իրավունքով։ 100 քռ. Կառույցն է, մոտ 6000$ ծախսել ու լրիվ առանձին հոսանքի հզոր գիծ եմ քաշել, նաև հոսանքի տրանսֆորմատր եմ տեղադրել։ Ներսում կա մոտ 14.000$ արժողությամբ գույք-տեխնիկա։ Գլխավոր ճանապարհին կից տուրիստական տեղաշարժի համար հատկացված հատված կա։Այգում կառուցվաղ է՝ տաղավարներ, մուտքի մոտ սրճարան, պտղատու այգի... ԵՒ այլն։Հասցե՝ Արարատյան 72, ՀՀ, Արարատի մարզ, գյուղ Շաղափ",Nov-24-2022_22-00,,https://list.am/en/item/17756002
Functioning Business,Stone,31 sq.m.,,,,,Ararat › Masis,"16,000,000 ֏",AMD,An existing shop is for sale near buildings 19-20-25-29-30 and 2 schools.Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/18241668
Everything Else,Bricks,12 sq.m.,,,,,"Araratyan street, Masis","$1,400",USD,"I am selling a half-built pavilion, the frame is perfectly assembled, very firmly, on 4 × 3, height 2.80, located in Masis, the price is $ 1400, I also have electric blinds for the front and side of this kiosk, if you wish I will sellTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/14384333
Agricultural Space,Stone,500 sq.m.,,,,,Ararat › Norashen,"25,000,000 ֏",AMD,"I am selling a barn with an adjoining house, it is provided with water and electricity. It is for sale together with a small cattle.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17500665
Industrial and Manufacturing,Stone,350 sq.m.,Available,Not available,First Line,Common from the Street,Ararat › Argavand,"$28,000",USD,"Վաճառվում է արտադրատարածք՝ 350/260 քմ մակերեսովԱրարատ, Արգավանդհարմար է տարբեր գործունեությունների համար️գազ, ջուր, կոյուղի️մայրուղուց 200մ հեռավորության վրաԿոդ BB381",Nov-24-2022_22-00,,https://list.am/en/item/16313087
Functioning Business,Stone,140 sq.m.,Not available,Not available,First Line,Common from the Street,Ararat › Ararat,"$45,000",USD,"140 sq. M. Commercial area for sale (wash yourself)Ararat, Darakertrenovated1st lineCode BB459Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16372163
Industrial and Manufacturing,Stone,250 sq.m.,Not available,Available,First Line,Common from the Street,Ararat › Argavand,"$30,000",USD,"Վաճառվում է գործող կահույքի սրահ՝ 250/140քմ քմ մակերեսովԱրարատ, Արգավանդհարմար է տարբեր գործունեությունների համար️եռաֆազ հոսանք️առանձին մուտքԿոդ BB382",Nov-24-2022_22-00,,https://list.am/en/item/16313107
Industrial and Manufacturing,Panels,1700 sq.m.,,,,,Ararat › Artashat,"$150,000",USD,"A production area is for sale in Artashat, 300m from Yeraskh-Yerjan highway.430 m2 building1700 square meters of landCeiling height h = 6 m, assembled with trusses.Dimensions: 12x36 mThree-phase current is availableGarni waterThe gas passes byThere is a forge.It is about 100-150 m away from residential houses.The sides are factories.The land is for rentVery urgently...Special note! Only call buyers who want to get the area through the agency ․․․Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/14674837
Everything Else,Stone,2650 sq.m.,,,,,Ararat › Ararat,"$18,000",USD,"2650 square meters total area, garden, stone house, drinking water.Cattle barn, barn, farm.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/10443131
Retail Space,Cassette,5 sq.m.,,,,,Ararat › Artashat,"250,000 ֏",AMD,A kiosk is for saleDimensions 2x2.7 height 2 mOnly the kiosk without space is for sale.Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/17667894
Office Space,Stone,111 sq.m.,,,,,Ararat › Ararat,"25,000,000 ֏",AMD,Near the previous stopTranslated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/16999663
Industrial and Manufacturing,Stone,56 sq.m.,,,,,"Աղբյուր Սերոբի փողոց 15, Արարատ","7,500,000 ֏",AMD,"Commercial area for sale in ․ In Ararat. Has permanent water, three-phase electricity, bathroom.The area is expedient for carrying out different types of activities.It can also be used as a garage.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17326094
Functioning Business,Stone,3200 sq.m.,,,,,Ararat › Argavand,"$1,200,000",USD,"Հասցե՝ ԱրգավանդԶվարթնոց օդանավակայանի հարևանությամբՄակերես՝Հողատարածք՝ 1210 քմՇինություն 3200 քմԱրտադրատարածքը համալրված է նորագույն սարքավորումներով, գերհզոր ապառատներով, անհրաժեշտ գերժամանակակից տեխնիկաներով,Ունի սեփական արտադրանքը. Ապահոված է բարձր եկամատաբերությամբ.Ամբողջ ճակատային հատվածով գեղեցիկ վիտրաժներԱնմիջապես Առաջին գիծմեքենաների համար առանձին ավտոկայանատեղի...Առանձնատունը վաճառվում է իր Արտադրանի (Բիզնեսի) Ամբողջ Նորագույն սարքավորումների, և Նորակառույց շքեղ Առանձնատան հետ միասին,Կոդ` GS-K263",Nov-24-2022_22-00,,https://list.am/en/item/14948863
Industrial and Manufacturing,Stone,100 sq.m.,,,,,Ararat › Ararat,"$12,000",USD,On the way from Ararat village to Ararat city; old building; There was a woodworking workshopTranslated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/17834570
Multifunctional Space,Stone,482 sq.m.,,,,,Ararat › Vedi,"28,100,000 ֏",AMD,"Office (public) area with a total area of 482.1 square meters.Suitable for different types of activities.Address: Ararat region, RA ք Vedi Araratyan 70 building.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17176071
Retail Space,Stone,192 sq.m.,,,,,"3-րդ փողոց 12/1, Ազատաշեն","14,985,000 ֏",AMD,Խանութ` 192 քմ ընդհանուր մակերեսով: Ունի հողամաս` 231 քմ ընդհանուր մակերեսով:Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/16345936
Industrial and Manufacturing,Stone,4500 sq.m.,,,,,"5-րդ փողոց 4, Ազատաշեն","58,320,000 ֏",AMD,"Greenhouse with a total area of 4,100 square meters. There is also a half-built freezer with a total area of 65 square meters.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16344623
Industrial and Manufacturing,Stone,4200 sq.m.,,,,,"5-րդ փողոց 14, Ազատաշեն","51,192,000 ֏",AMD,Greenhouse with a total area of 3495 square meters.Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/16345186
Multifunctional Space,Stone,1000 sq.m.,,,,,Ararat › Argavand,"$350,000",USD,"A multifunctional commercial space is for sale in Argavand. The total area of the area is 1000 square meters, and the area of the building is 1500 square meters. The area is suitable for any type of activity.It is also available for rent: 1 sq. M. - 1000 AMDSelling price: 350,000 USDCode: AH-K08Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18278440
Everything Else,Monolith,10 sq.m.,,,,,"Artashat Highway, Yerevan",250 ֏,AMD,"Fodder, drumsticks, for silageTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/15762841
Multifunctional Space,Stone,130 sq.m.,Not available,Not available,First Line,Separate from the Street,Ararat › Ayntap,"$58,000",USD,"Կոդ՝ B-20366Վաճառվում է 3 սենյականոց կոմերցիոն տարածք Այնթապում։ Տարածքը կապիտալ վերանորոգված է, 1-ին գիծ։ Մուտքի դուռը՝ մետաղյա, պատուհանները՝ եվրո, հատակը՝ լամինատ, սալիկապատ։ Ունի օդափոխության և անվտանգության համակարգեր, օդորակիչներ (2), այգի՝ պտղատու ծառերով, տաղավար, պարիսպ, եռափազ հոսանք, մշտական ջուր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A commercial area for sale in Ayntap. The rooms' quantity is 3. The area is newly renovated and is stationed in the 1-st line. The entrance door is iron-made, the windows are euro-based, the floor covered by laminate and is tiled. The area has ventilation and security systems, air-conditinoers (2), garden with fruitful trees, pavilion, fence, three-phase electricity and is supplied with constant water.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_22-00,,https://list.am/en/item/16484909
Retail Space,Cassette,12 sq.m.,,,,,Ararat › Vedi,"$6,000",USD,"Land for sale near the Acba Bank in Vedi, on the main roadTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17858321
Functioning Business,Stone,30 sq.m.,,,,,"Khanjyan street, Ararat","$30,000",USD,"A 30 square meter commercial apartment is for sale at Khanjyan 1-5. It is provided with constant hot and cold water, air conditioner, necessary furniture. It has a bathroom, it is sunny. There is also a refrigerator for flowers. It is suitable as a flower, beauty salon, dental clinic. For more information call:Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18249793
Functioning Business,Stone,100 sq.m.,,,,,Ararat › Ararat,"$70,000",USD,"""Wash Yourself"" is being promoted. It consists of 2 separate washing points, a total of 100 square meters, in front of it there is an improved area of 200 square meters, designed for drying cars մաքր vacuum cleaning. It is provided with constant water. The average monthly income is 260,000-270,000 drams...Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17974759
Industrial and Manufacturing,Stone,"13,974 sq.m.",,,,,Ararat › Ararat,"$290,000",USD,"• Realty Consult ID` GA 23:• URGENT production complex for sale.• Ararat region, village Noramarg.• Land of 12000 square meters• Total number of buildings: 1974 square meters: 2 livestock buildings 1835 square meters, 5 greenhouses, 2 warehouses 106 square meters, guard post 34 square meters, lake, well.• PRICE: $ 290,000.• The real estate is equipped with the following engineering networks and communications: Gas, water, sewerage, electricity. The building is in good condition, it is subject to operation. The building is built in accordance with modern standards, equipped with modern engineering networks, systems and communications.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/14084842
Agricultural Space,Stone,540 sq.m.,Not available,Not available,First Line,Common from the Street,Ararat › Aralez,"$40,000",USD,"Cattle farm for sale with all amenities, water and electricity (380 volts) Located in Ararat Marz. In good condition.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18020442
Multifunctional Space,Stone,480 sq.m.,,,,,Ararat › Ararat,"$300,000",USD,"Three-storey commercial building for sale in Ararat, suitable for any activityFor details, call the given number on WhatsAppTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16236111
Industrial and Manufacturing,Bricks,380 sq.m.,,,,,"Aghbyur Serop street 5, Ararat","$35,000",USD,"Industrial buildingAddress: C. Ararat, 5 TpagrichneriTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17742089
Multifunctional Space,Stone,500 sq.m.,By agreement,Available,First Line,Separate from the Street,Ararat › Masis,"$90,000",USD,"Inside there is a bakery, a market hall, a bathroom, a rest room. It is for rent. Is located in Zorak provinceTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18045467
Everything Else,Wooden,24 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,Ararat › Azatashen,"850,000 ֏",AMD,Vagon Tnak Domik Домик,Nov-24-2022_22-00,,https://list.am/en/item/16133038
Retail Space,Wooden,10 sq.m.,,,,,"Araratyan street, Yerevan","$10,000",USD,"I am selling the pavilion with common property, ice cream machine, refrigerators, audio system, etc. For more information, call number 2Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/15699725
Agricultural Space,Stone,250 sq.m.,,,,,Ararat › Masis,"$33,000",USD,"Farm cattle ranch. The cattle farm is located on the 7th street in the city of Masis. It has its own 100 kW plant, a mill also grinds grass, a mixer with a capacity of 500 kg, there is a well with a pump (artesian), ventilation system (with ventilators), the water pipe is near (drainage), 3 large houses. Suitable for keeping cows or pigs. The side of the road is fenced, the rest is fenced, total 3000 mTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17356229
Multifunctional Space,Stone,715 sq.m.,,,,,Ararat › Artashat,"$170,000",USD,"A two-storey building with its land is for sale in the center of Artashat city, Ararat region.The total area of the land is 715 square metersThe area of the building is 495 square metersCeiling height: 4.5 m (baghdat)It is fenced, has 2 entrancesThe building served as a workshop, but it is a unique structure of the 19th century, built of tuff, which has preserved its architecturally excellent appearance.It needs interior renovation and finishing.Due to its position, it is suitable for various business activities. Can be used as a guest house, restaurant complex, etc.Kind regards: Asatryan Consulting team:Code 15230230Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/15230230
