Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links
Industrial and Manufacturing,Stone,"13,000 sq.m.",Armavir › Armavir,"290,000,000 ֏",AMD,"Code-BB1106Armavkr marz not reached Metsamor / 200m away from the highway /Production area 13000/1200 square meters. Fenced, all lit. Part of the production area is well preserved.Suitable for organizing various businesses, productionvery close to the highwaythe iron line runs through the backTranslated from Armenian",Nov-24-2022_21-59,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18172290
Industrial and Manufacturing,Stone,2000 sq.m.,Armavir › Echmiadzin,"85,000,000 ֏",AMD,"The area has: Slaughterhouse, barns, office, living rooms, swimming pool, pigs (pigs), cows, calves, bulls, gojis. There is also: Light, water, electricity, three-phase, electricity.The area of the building is 1400m.For sale URGENTLY.For details, call the indicated number.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18056476
Industrial and Manufacturing,Stone,1350 sq.m.,Armavir › Echmiadzin,"$280,000",USD,"An operating workshop is for sale in the center of Etchmiadzin, in the territory of which there is a newly built house with all amenities, the total area is 1350 square meters. Call for details.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17572053
Agricultural Space,Stone,"12,000 sq.m.",Armavir › Yervandashat,"$68,000",USD,"Cattle farm for sale, 500 sq. M., cattle ranch, with automatic water bottles, automatic manure collection line, 20 ton water storage tank, zinc coatings for haystacks, half-built milk processing plant, guard house, 10000 sq. M.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17466763
Retail Space,Stone,435 sq.m.,Armavir › Echmiadzin,"$79,000",USD,ԿոդT217Վաճառվում է 2հարկանի հացատուն Էջմիածնի Զվարթնոց թաղամասում։Տարածքի նշանակությունը՝ԱՐՏԱԴՐԱԿԱՆՄեծ սրահ3փակ սենյակ4բացօթյա տաղավարԽոհանոցՆկուղային սրահՍանհանգույցՇատրվանԿոմունալ հարմարություններԽորովածանոց3մուտքԴռներն ու պատուհանները ԵվրոՄակերեսըՀողամաս՝435քմՇինություններ՝160քմ,Nov-24-2022_21-59,,,,,,https://list.am/en/item/15516703
Everything Else,Stone,70 sq.m.,Armavir › Echmiadzin,"$25,000",USD,"Stone building in Haytagh village (Mashtots 5), located on the central street, used gas station, all legal documents are available for reopening, building conditions are in very good condition... Price is negotiable.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18109226
Industrial and Manufacturing,Stone,2800 sq.m.,Armavir › Echmiadzin,"$200,000",USD,"House-production area (poultry farm) for sale in Echmiadzin, Armavir region. The total land area is 2800 square meters for the building - 800 square meters. It is designed to keep 15,000 chickens in cages, and it is possible to keep 10,000 chickens in floor barns.There is a pig farm for 50-60 pigs.Is available. Constant drinking water. Artesian water. Three-phase electricity. Production area gas. House gas. Fruit garden. Grape vinesThe area is also suitable for other activities.In the case of a real buyer, it is possible to bargain. The area is for rent.Code 17801592Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17801592
Automotive Service,Panels,24 sq.m.,"Erevanyan street 42, Armavir","$18,000",USD,A car service station with 2 parking spaces is for saleCall for detailsTranslated from Armenian,Nov-24-2022_21-59,,,,,,https://list.am/en/item/18296139
Industrial and Manufacturing,Stone,173 sq.m.,"Echmiatsin Highway, Khoronk","$98,000",USD,"The workshop is built on 0.24 hectare land. It is the best way to start a new business.For details, please call or write.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17747201
Industrial and Manufacturing,Stone,2300 sq.m.,Armavir › Aghavnatun,"$40,000",USD,"Urgently for sale, negotiableTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17632413
Industrial and Manufacturing,Stone,3000 sq.m.,"Գետափի փողոց 1, Արգավանդ","$350,000",USD,"Workshop for urgent saleNext to the Argavandi cemetery. The total area is 3000 sq/m. There are buildings of 450 sq/m on the area. Gas, electricity and water are connected to the area. The price is negotiable.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18285045
Everything Else,Panels,91 sq.m.,"V. Kostanyan street, Vagharshapat","$100,000",USD,Վռամ Կոստանյան 6/2 հասցեում վաճառվում է 4 սենյականոց բնակարան 1֊ ին հարկում մուտքը բալկոնից ։ Ունի ջուր։ գազ։ լույս։Մակերեսը 91մ Ունի նաև նկուղ։ ։։,Nov-24-2022_21-59,,,,,,https://list.am/en/item/11782529
Everything Else,Cassette,300 sq.m.,Armavir › Echmiadzin,"1,000,000 ֏",AMD,"Hothouse for sale, only the greenhouse (the land is not for sale)300 square metersMade with new and high-quality profiles (without cellophane)Real buyers will callTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/16314421
Warehouse,Stone,600 sq.m.,"Orjonikidze street, Vagharshapat","$100,000",USD,"! VERY URGENTLY! 1-storey corner stone building with an area of 600 square meters is for sale. There is no moisture inside, it is currently used as a grocery store. For details, click on Viber! VERY URGENTLY!Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17533958
Multifunctional Space,Stone,400 sq.m.,Armavir › Armavir,"$250,000",USD,"A building is for sale at 5/3 Armavir street. Suitable for any type of activity. Ceiling height 5 m, front 41 m. It is provided with three-phase electricity, water and sewerage.Negotiable:Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17316271
Multifunctional Space,Stone,3200 sq.m.,"Mesrop Mashtots street 81/1, Vagharshapat","$360,000",USD,"Area 3200 for sale in the center of EtchmiadzinSq. MHotel, apartment building is provided. Sports club to buildhas two entrances from different streets.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/11275500
Retail Space,Stone,95 sq.m.,"Charents street, Vagharshapat","$130,000",USD,"The area includes two separate pavilions, both of which are for rent, have three-phase electricity, gas, bathrooms, air conditioning, and all utilities.The area has a basement, which is suitable for any workshop, the height of the basement is 2.6 meters, the area is 38m. Four.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18275306
Everything Else,Wooden,20 sq.m.,Armavir › Parakar,"550,000 ֏",AMD,"I am selling a house, 6.5 meters long and 3 meters wide, the house is in quite good condition, the price is 550,000. We will discuss other issues related to the transfer during the telephone conversation.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/16840472
Multifunctional Space,Stone,435 sq.m.,"Զվարթնոց թաղամաս 13, Վաղարշապատ","$85,000",USD,Zvartnots district. Exchange with the apartment. Of industrial significance. On facebook Real Estate in Etchmiadzin - Ansharj guyq EjmiacnumCode K-8160Translated from Armenian,Nov-24-2022_21-59,,,,,,https://list.am/en/item/17455128
Everything Else,Stone,217 sq.m.,Armavir › Jrashen,"1,779,500 ֏",AMD,"The property is the Bank's collateral, which is in the BANKRUPTCY auction.Armavir region, c ․ Jrashen, 13th st. Livestock building located at No. 13, 217-3 square meters, land plot - 0.1313 hectares. The cattle building is one-storey, lined with tuff stone, has a wooden roof and has no roof. The barn is not decorated. Some of the doors are wooden and some are metal. The land is flat, partially demarcated from the surrounding areas.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,Other,Separate from the Courtyard,,https://list.am/en/item/16775256
Industrial and Manufacturing,Stone,5024 sq.m.,Armavir › Mayisyan,"38,371,000 ֏",AMD,"The property is a collateral of the Bank, which is in the Bankruptcy auction.Armavir region, c ․ Mayisyan Yerjan-Armavir highway 11 address, lake - 5024 square meters, platforms - 99.4 square meters (columns) 16 pieces, land - 1.1132 hectares, there is artesian water, electricity electricity.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,Other,Separate from the Courtyard,,https://list.am/en/item/16765347
Agricultural Space,Panels,612 sq.m.,Armavir › Norakert,"$100,000",USD,"Cattle farm for sale, total area 7300 square meters, building 612 square meters, guard house, 50 square meters area, drinking and irrigation water and electricity. It is also possible to exchange for a car or real estate in Yerevan.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18067719
Retail Space,Panels,80 sq.m.,Armavir › Metsamor,"$35,000",USD,"Three-phase electricity, water, sewer gas under the wallThe building was built for a three-story project, the rest with a bellTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17068339
Retail Space,Stone,54 sq.m.,Armavir › Echmiadzin,"$59,000",USD,Hairdressing salon for saleIn the city of EtchmiadzinThe area is 54 square metersFloor 1_1AshotHeating SystemBasementFor more information callCode A012Translated from Armenian,Nov-24-2022_21-59,,,,,,https://list.am/en/item/17083376
Retail Space,Stone,387 sq.m.,Armavir › Echmiadzin,"69,000,000 ֏",AMD,It is in good conditionTranslated from Armenian,Nov-24-2022_21-59,,,,,,https://list.am/en/item/17825945
Industrial and Manufacturing,Stone,1000 sq.m.,"Տերյան փողոց 11, Վաղարշապատ","$75,000",USD,"Car service building 280 square meters. 20 m frontage. Parking. Three-phase current, sir. Gas, water attached.Code KE-7577Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18105855
Automotive Service,Stone,40 sq.m.,"Aragatsi street, Vagharshapat","$35,000",USD,"A stone building for car service is for sale, it is the first line, 4 meters wide, 10 meters long, 3.5 meters high, it is privatized.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17973524
Functioning Business,Bricks,7500 sq.m.,Armavir › Armavir,"$450,000",USD,"Region: ArmavirVillage: Zvartnots (20 km away from Yerevan)Existing greenhouse for sale 5000 and 2500 square meters are under constructionThe total land area is 15,000 square metersPurpose of the land: AgriculturalThe land is privatized.Provided with gas (heated with gas)It has a drip system.The area is equipped with drinking water, irrigation water, electricity.It is built with a modern construction.Exchange with an apartment or land in Yerevan is possible.Code 15137243Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/15137243
Retail Space,Bricks,50 sq.m.,"Ստեփան Շահումյանի փողոց 53, Վաղարշապատ","360,000 ֏",AMD,"For sale. If you have any questions, call usTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17377764
Industrial and Manufacturing,Stone,69 sq.m.,Armavir › Echmiadzin,"$35,000",USD,"ԿիդT185Վաճառվում է խանութ-կոմերցիոն տարածք Էջմիածնի Չարենց թաղամասում՝այգու մոտակայքում։1-ին հարկՀասարակական նշանակությունՊաշտպանված է ճաղավանդակովՈւնի նաև ետնամուտքԿոմունալ հարմարություններՀանգստի սենյակՍանհանգույցՍալիկապատՄակերեսը՝68,5քմ",Nov-24-2022_21-59,,,,,,https://list.am/en/item/14782172
Retail Space,Stone,300 sq.m.,Armavir › Echmiadzin,"15,000,000 ֏",AMD,"The shop in the center of the village is for sale together with the house, with a land area of about 1000 square meters, the shop area is fenced. Address: Armavir Marz, Etchmiadzin Region: Metsamor villageTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18141569
Retail Space,Stone,60 sq.m.,"Չարենցի փողոց 18, Վաղարշապատ","$70,000",USD,"The area is located on a busy street, on the First Line, it has all the communal facilities. The area is currently rented for 150,000 drams.The area has a spare part and a bathroom, the floor is heated.Security cameras are installed.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17479028
Functioning Business,Monolith,84 sq.m.,Armavir › Echmiadzin,"$43,000",USD,"Shops for sale and rent in Echmiadzin, in the busiest part of Charents district, 84 sq. M. M starting from 250 sq. M. M:Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/13919624
Industrial and Manufacturing,Stone,2000 sq.m.,Armavir › Armavir,"$45,000",USD,"For sale or rent, dried fruit factory in Hoktemberyan Hoktemberyan village, a very convenient place for drying, total 2000 sq. M. M, 300 sq. M. M building, has an elevator, 40 sq. M. M refrigerator, 30 sq. M. M smoking, 1000 kg. Electric dryer with capacity, 900 pieces, etc. , with all amenitiesTranslated from Armenian",Nov-24-2022_21-59,Available,Available,Other,Common from the Street,,https://list.am/en/item/14935663
Building,Stone,6400 sq.m.,"3-րդ փողոց 3-րդ փակուղի 11, Գետամեջ համայնք","$210,000",USD,"Շինություն 10X10Պտղատու այգիԳազի, ջիր, հոսանքի հնարավորությունԱսվալտապատ ճանապարհ",Nov-24-2022_21-59,,,,,,https://list.am/en/item/11133428
