Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For General Purpose,15 sq.m.,Gegharkunik › Sevan,"$5,000",USD,It will be negotiable to cultivate a plot of land and buy wineI will listen to your suggestionsTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/16242044
For Residential Development,800 sq.m.,Gegharkunik › Sevan,"$7,800",USD,"The owner is selling a plot of land in Sevan, directly in front of Harsnakar, near the train tracks. The land is close to the house.Exchange with a new car (after 2004) is also possible.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/11969381
For Residential Development,900 sq.m.,Gegharkunik › Martuni,"$3,000",USD,"Ք. Մարտունի։ Տնամերձ հող, tnamerdz hoghataracq, tnamerdz hox վանքի թաղ",Nov-25-2022_00-53,,https://list.am/en/item/9318362
Agricultural,4000 sq.m.,"Կարմիր բլուրի փողոց 101, Երևան","$38,000",USD,A plot of land near Goshavank in the city of KrasniTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/18139320
Agricultural,1670 sq.m.,Gegharkunik › Martuni,"$18,000",USD,"0.167 hectare land for sale, Q. In the district of Martuni Vank, the land is on the roadside, not far from the monastery, it is fenced with panels on both sides of the road, it is cultivated, the price is negotiable. For details, call Ashkhen HakobyanTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17650599
For Public Buildings,3000 sq.m.,"Dzknorsneri street 7, Sevan town","$63,000",USD,Beautiful view of Lake Sanaa is suitable for the construction of hotel complexes.Code 60381Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17503162
Agricultural,5243 sq.m.,Gegharkunik › Karchaghbyur,"428,940 ֏",AMD,"The property is at auction.Gegharkunik region, c ․ The arable land in Karchaghbyur is 5243 square meters, the area is flat, rectangular, partially demarcated from the adjacent areas.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17004508
For Residential Development,800 sq.m.,"Դեմիրճյան փողոց 21, Սևան","$20,000",USD,"The land is located in the middle of Sayat-Nova, Khachatur Abovyan եմ Demirchyan streets of San city.In front of the Russian school.Right next to the Tumo Center - in the back.From 2 streets - Front 19.1 metersDepth 42. MetersAdjacent to the district of private houses.Asphalt road.Availability of all communications.Neighborhood private housesThe project has 3 side roadsIt is possible to exchange with the car for an additional feeCode 0-798Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16940624
For Public Buildings,"20,000 sq.m.",Gegharkunik › Sevan,"$70,000",USD,"2 Hectares (20,000 square meters) Beach, recreation area on the banks of Sevan, near Shorzha, with more than 65m of lake shore.In the ""Sevan National Park"" area. Next to the highway, the location is favorable for organizing a recreation area.PRICE: $70,000 USD.CODE S161Call Smart Agency for more detailsTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/12604790
For Residential Development,1500 sq.m.,Gegharkunik › Tsapatagh,"8,000,000 ֏",AMD,Հողատարածքը գտնվում է Սևանա լճին մոտ։Земля находится недалеко от озера Севана․,Nov-25-2022_00-54,,https://list.am/en/item/17931137
For General Purpose,8000 sq.m.,Gegharkunik › Gavar,"$64,000",USD,"The land is located 100 meters from Lake Sanaa. It is intended for different types of buildings. There is electricity, water, gas. There is a gas station, a supermarket, residential houses nearby. If you have any questions, call the mentioned phone number.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17341919
Agricultural,1000 sq.m.,Gegharkunik › Sevan,"$38,000",USD,"An operating business is for sale in San Lchashen community. 1.5 km away from Shan highway. The building area is 500 square meters, it is fenced. It has three-phase electricity, gas, water.Pig farmLivestock farmEmpty barn $ 38,000Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/12112949
For Residential Development,2000 sq.m.,Gegharkunik › Artanish,"$8,500",USD,"Հողատարածք Արտանիշ համայնքում: Գեղեցիկ տեսարան: Խմելու ջուր, էլէկտրականություն և գազը արկա է:Հնարավոր է վաճարել կես կես: Artanish (Shorja) Артаниш. (ШОРЖА)",Nov-25-2022_00-54,,https://list.am/en/item/16358478
For Residential Development,500 sq.m.,Gegharkunik › Sevan,"$15,000",USD,"Land near the house near ""Harsnakar"". 300 m away from the lake. Negotiable to anyone who wants it. The cost of 1 square meter is $ 16. PAST EXCHANGE WITH CARTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16838931
Agricultural,2000 sq.m.,Gegharkunik › Sevan,100 ֏,AMD,"Վարելահող, Գեղարքունիքի մարզ գյուղ Գեղամավան (Չարքյազ) կոչող տարածքում 10 մետր հեռավորության վրա ոռոգման ջուր (առու) գինը պայմանագրային",Nov-25-2022_00-54,,https://list.am/en/item/16574318
For Residential Development,8500 sq.m.,Gegharkunik › Sevan,"5,000,000 ֏",AMD,"Located 9 km from Sean town, in Geghamavan village, near-home irrigation water, electricity, 300 meters, metal pipe, 2-inch power supply, 300 meters with its electric polesTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/15809799
For Residential Development,1000 sq.m.,Gegharkunik › Sevan,"$8,000",USD,Սևանի ափին Շորժայում վաճառվում կամ փոխանակվում է 1000քմ տարածք. Անմիջապես երկաթգծերից վերև.,Nov-25-2022_00-54,,https://list.am/en/item/13936573
For Residential Development,430 sq.m.,"1st Street, Shorzha","$5,500",USD,"Land for sale in the center of Shorzha village, 430 square meters. For questions, call the indicated number.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18006519
For General Purpose,1500 sq.m.,Gegharkunik › Vardenis,"1,000,000 ֏",AMD,Հողատարածքն գտնվում է Վարդենիս ք. Գայի փողոց 6-րդ նրբանցք 15 հողամաս։Որոքման ջրին շատ մոտ է գտնվում։Զանգահարեն միայն հստակ գնորդներն։,Nov-25-2022_00-54,,https://list.am/en/item/12901823
For Residential Development,636 sq.m.,"Sayat-Nova Street 31/1, Sevan","6,500,000 ֏",AMD,"A plot of land is for sale in the 3rd lane of Amaranozai street.The plot is very close to the highway and is located in a legally approved residential development zone, close/permissible distance from Lake Sevan.Another plot of the same size and price is for sale next to the plot, and together these plots can serve for the construction of a small residential complex, townhouses.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18049489
For Residential Development,850 sq.m.,"Parz Lich street, Dilijan station","2,000,000 ֏",AMD,"The area has drinking water, the area is very convenient for nature, to build a dacha or for the hotel business near the caravan. You can cooperate for tourism.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17658192
For Public Buildings,3000 sq.m.,Gegharkunik › Sevan,"$75,000",USD,"The land is of public significance, 3000 square meters with a front of 30 meters. It is located on the Sean-Yerjan highway, 1st line, in front of the Sean Beer Factory. FOR SALE FROM URGENT MARKET.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17433298
For Residential Development,800 sq.m.,Gegharkunik › Vardenik,"$10,000",USD,"48.7 sq. M. Land 800 sq. M. Land for sale in Vardenik town, Gegharkunik region (purpose of residential construction)Exchange it with a car!Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17772478
For Public Buildings,2000 sq.m.,Gegharkunik › Chkalovka,"$26,000",USD,"First line, 500 meters above Noi Land, property, recreational area, also for sale, 1000 sq. M., call for details, it is possible to exchange the car with me or you for an additional fee.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17875652
For General Purpose,1000 sq.m.,Gegharkunik › Shoghakat,"$25,000",USD,Վաճառվում է Շտապ,Nov-25-2022_00-54,,https://list.am/en/item/18137428
For Residential Development,3600 sq.m.,Gegharkunik › Chambarak,"8,000,000 ֏",AMD,"Land near the house for sale, 3600 square meters, partial sale is also possible, 30 km from Dilijan, in the village of Dprabak.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17573663
For Residential Development,2800 sq.m.,Gegharkunik › Tsapatagh,"$35,000",USD,"For urgent sale, there is a stone building in the area, the area is 180 square meters, call for detailsTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18224404
For Public Buildings,6100 sq.m.,Gegharkunik › Drakhtik,"$67,000",USD,"Code-14408: Land for sale in the picturesque coastal area of Xi'an, 1st line. It is a clean shore, the area is fenced. There is water, electricity. Suitable for recreation area.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17273972
For Residential Development,1200 sq.m.,Gegharkunik › Vaghashen,"566,201 ֏",AMD,"The property is the Bank's collateral, which is at auction at the ARCS.Gegharkunik region, Vaghashen community, 31st street, N1 land plot near the house, 1200 sq. M.The surface is flat, bordered by adjacent areas.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17173688
For Residential Development,1200 sq.m.,Gegharkunik › Sevan,"$4,000",USD,Land according to the house plan c. Border between Lchashen and SevanThe foundation of the house and garage is available.For more information call.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/18151504
For Residential Development,400 sq.m.,"Улица Мясникяна, Мартуни","$4,000",USD,Земельный участок факт 7 сот. В опытным поле. Не доезжая мельницы.,Nov-25-2022_00-54,,https://list.am/en/item/18002600
For General Purpose,1200 sq.m.,Gegharkunik › Sevan,"$45,000",USD,A half-built building is for sale 70 meters away from Lake Sanaa. An exchange is made for an additional fee. Call for details.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17689945
For Residential Development,1294 sq.m.,Gegharkunik › Nerkin Getashen,"$10,000",USD,"Near the house. There is electricity in the area, gas nearby. There is a certificate of ownership.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16842321
For General Purpose,200 sq.m.,"Lernagorts Street, Vardenis","900,000 ֏",AMD,A half-built apartment is for sale. The basement has 6 rooms. The apartment was planned to have 2 floors. I will exchange it with a car if you have optionsTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/16921821
For Residential Development,600 sq.m.,Gegharkunik › Sevan,"$10,000",USD,"Land for residential buildings in Sevan, 600 sq/m Urgent sale of land near the house at 11 Vahan Teryan Street in Sevan. Gas, water and electricity are available in the area. The plot is located in the back of the high school.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18129632
Agricultural,4536 sq.m.,Gegharkunik › Karchaghbyur,"375,752 ֏",AMD,"Գույքը գտնվում է ՀԿԱԾ աճուրդում:Գեղարքունիքի մարզ, գ․ Կարճաղբյուրում խոտհարք՝ 4536քմ, մակերևույթը՝ հարթ, ուղղանկյունաձև, հարակից տարածքներից մասամբ սահմանազատված է։ Առկա են ևս 4 կտոր խոտհարք՝ 5172քմ-մեկն․ գին 296,826 դրամ, խոտհարք՝ 1599քմ-մեկն․ գին 90,935 դրամ, խոտհարք՝ 1105քմ-մեկն․ գին 63,484 դրամ և խոտհարք՝ 872քմ-մեկն․ գին 49,757 դրամ։Ներկայացվող գույքը կարող եք ձեռք բերել նաև Բանկի կողմից վարկավորման միջոցով՝ տվյալ պահին գործող վարկավորման պայմաններով և սակագներով:",Nov-25-2022_00-54,,https://list.am/en/item/17004575
Agricultural,"140,000 sq.m.","Шоссе Ереванян 3, Севан","$370,000",USD,"The plot of land is intended for establishing a greenhouse economy, it is located next to the Sevan-Yerevan highway, the plot has central water, an area for solar energy, gas nearby, a new storage area has been built in the area, an office of 720 square meters, call for details.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18012394
For Public Buildings,3000 sq.m.,"Dzknorsneri street, Sevan town","$54,000",USD,Beautiful view of Lake Sanaa is suitable for the construction of hotel complexes.Exchange with a car equivalent to the price.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17815188
For Residential Development,7000 sq.m.,Gegharkunik › Artanish,"$395,000",USD,"Large land with 4 houses in front of wildlife reserve and Lake Sevan. A larger 7000 m2 land with electricity, next to the highway, fenced and with gate, near Artanish village. Four house with views of Lake Sevan and the adjacent Geghama Mountains.These house were intended to be part of a larger housing project. The project was not completed. Just four houses were built. Well built houses made of double block insulated walls and insulated. The houses are warm and efficiently designed.Land is for sale and open for trade for commercial property or apartments in Yerevan. We will be posting photos and maps soon.Խոշոր հողատարածք 4 տներով վայրի բնության արգելոցի և Սևանա լճի դիմաց։ Ավելի մեծ 7000 մ2 հողատարածք հոսանքով, մայրուղու մոտ, պարսպապատ և դարպասով, Արտանիշ գյուղի մոտ։ Չորս առանձնատուն տեսարանով դեպի Սևանա լիճը և հարակից Գեղամա լեռները։Այս տները նախատեսված էին դառնալու ավելի մեծ բնակարանային ծրագրի մի մասը: Նախագիծը չի ավարտվել։ Ընդամենը չորս տուն է կառուցվել։ Լավ կառուցված տներ, որոնք պատրաստված են կրկնակի բլոկից մեկուսացված պատերից և մեկուսացված: Տները տաք են և արդյունավետ նախագծված։Վաճառվում է հողատարածք և բաց է առևտրի համար կոմերցիոն գույքի կամ բնակարանների համար Երևանում։ Շուտով կտեղադրենք լուսանկարներ և քարտեզներ։Большой участок с 4 домами напротив заповедника и озера Севан. Большой участок площадью 7000 м2 с электричеством, рядом с трассой, огорожен забором и воротами, недалеко от села Артаниш. Четыре дома с видом на озеро Севан и прилегающие Гегамские горы.Эти дома должны были стать частью более крупного жилищного проекта. Проект не был завершен. Всего было построено четыре дома. Хорошо построенные дома из двублочных утепленных стен. Дома теплые и качественно спроектированы.Земля продается и открыта для торговли под коммерческую недвижимость или квартиры в Ереване. Скоро мы разместим фотографии и карты.",Nov-25-2022_00-54,,https://list.am/en/item/17143895
For Residential Development,2000 sq.m.,Gegharkunik › Chambarak,"$12,000",USD,A plot of land near the house is located in Dprabak village of Gegharkunik region near the main road...For questions call...Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17262544
For General Purpose,960 sq.m.,Gegharkunik › Martuni,"$3,900",USD,"A plot of land in the city of Martuni is urgently for sale, there is water, electricity and gas, for details, write or call the indicated phone number, the price is negotiable...Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16503000
For Residential Development,2000 sq.m.,Gegharkunik › Sevan,"$70,000",USD,"A plot of land is for sale in Sevan, across the street from Harsnakar complex, on Sar, near Spitak House. 2000 square meters. Partial sale (800, 1200 square meters) or exchange is possible. The land can be used for residential, commercial or general use. The land offers a wonderful view of Lake Sevan. $35Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17722225
For Public Buildings,480 sq.m.,Gegharkunik › Vardenis,"$6,000",USD,"A plot of land is for sale in the city of Vardenis, on the 1st line, on the road to Sotk, in front of residential buildings. Phone exchange with the carTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16139187
For Residential Development,"12,000 sq.m.",Gegharkunik › Sevan,"$77,000",USD,"Տեսարան դեպի Սևվանա լիճ, Հայրավանքււմ 1.2 հեկտար բնակելի հողատարածք: Հողի նշանակությունը բնակավայրերի: Բացառիկ կլիմա ունի (օգոստոսին ծիրան է հասնում)Բոլոր կոմունիկացիաներն առկա են (էլ. Էներգիա, ջուր, գազ, կոյուղի...) Սակարկելի:Land for residential buildings in Sevan, 12,000 sq. M.1.2 hectares of residential land near Hayravank Monastery with a gorgeous view to Lake Sevan. It has an exceptional climate: Apricots grow there))All communications are available (electricity, water, gas, sewerage)Земельный участок под жилую застройку в Севане, 12 000 кв. М.1,2 га земли под застройку рядом с монастырем Айраванк с шикарным видом на озеро Севан. Климат исключительный: Растут абрикосы))Подведены все коммуникации (электричество, вода, газ, канализация)",Nov-25-2022_00-54,,https://list.am/en/item/10522480
For Residential Development,2000 sq.m.,Gegharkunik › Sevan,"$20,000",USD,"Privatized land is for sale at a distance of 300 m from the shore of Sevan. Height 15 m above the water level. Near the road, residential houses have already been built from 3 points.1 sq. M. M = $ 15, also for sale in parts. It is 95 km away from Yerevan. Call Vatsap or Viber.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17586151
